LGAs,Local Government Area,Output Year,Police Region,Police Regions,Selected Year,Year,Year Ending,Year ending,Criminial Incident Rate,Incidents Recorded,"Rate per 100,000 population",레코드 수
참, Darebin,2013,1 North West Metro,참,거짓,2013,참,June,"6,197.40","9,127","6,197.40",1
참, Moyne,2013,4 Western,참,거짓,2013,참,June,"2,872.60",472,"2,872.60",1
참, Baw Baw,2013,2 Eastern,참,거짓,2013,참,June,"4,773.50","2,178","4,773.50",1
참, Mitchell,2013,2 Eastern,참,거짓,2013,참,June,"5,038.60","1,904","5,038.60",1
참, Wyndham,2013,1 North West Metro,참,거짓,2013,참,June,"5,288.90","10,060","5,288.90",1
참, Casey,2013,3 Southern Metro,참,거짓,2013,참,June,"4,299.30","11,953","4,299.30",1
참, Hepburn,2013,4 Western,참,거짓,2013,참,June,"3,608.00",542,"3,608.00",1
참, Greater Geelong,2013,4 Western,참,거짓,2013,참,June,"6,077.70","13,575","6,077.70",1
참, Hindmarsh,2013,4 Western,참,거짓,2013,참,June,"3,639.80",213,"3,639.80",1
참, Northern Grampians,2013,4 Western,참,거짓,2013,참,June,"5,799.70",689,"5,799.70",1
참, Mildura,2013,4 Western,참,거짓,2013,참,June,"8,527.70","4,533","8,527.70",1
참, Mount Alexander,2013,4 Western,참,거짓,2013,참,June,"3,408.80",622,"3,408.80",1
참, Golden Plains,2013,4 Western,참,거짓,2013,참,June,"1,984.10",404,"1,984.10",1
참, Frankston,2013,3 Southern Metro,참,거짓,2013,참,June,"7,967.20","10,704","7,967.20",1
참, Indigo,2013,2 Eastern,참,거짓,2013,참,June,"2,223.60",347,"2,223.60",1
참, Mornington Peninsula,2013,3 Southern Metro,참,거짓,2013,참,June,"4,642.80","7,150","4,642.80",1
거짓,Total,2013,1 North West Metro,참,거짓,2013,참,June,"7,062.70","131,126","7,062.70",1
거짓,Total,2013,3 Southern Metro,참,거짓,2013,참,June,"5,548.60","77,512","5,548.60",1
거짓,Total,2013,4 Western,참,거짓,2013,참,June,"5,654.40","52,394","5,654.40",1
거짓,Total,2013,Justice Institutions and Immigration Facilities,거짓,거짓,2013,참,June,,969,,1
거짓,Total,2013,2 Eastern,참,거짓,2013,참,June,"4,457.30","70,947","4,457.30",1
거짓,Total,2013,Unincorporated Vic,거짓,거짓,2013,참,June,,104,,1
참, Kingston,2013,3 Southern Metro,참,거짓,2013,참,June,"4,678.50","7,127","4,678.50",1
참, Gannawarra,2013,4 Western,참,거짓,2013,참,June,"4,104.10",432,"4,104.10",1
참, Colac-Otway,2013,4 Western,참,거짓,2013,참,June,"5,082.00","1,069","5,082.00",1
참, Murrindindi,2013,2 Eastern,참,거짓,2013,참,June,"3,524.30",478,"3,524.30",1
참, Warrnambool,2013,4 Western,참,거짓,2013,참,June,"5,523.10","1,846","5,523.10",1
참, Greater Bendigo,2013,4 Western,참,거짓,2013,참,June,"5,477.70","5,804","5,477.70",1
참, West Wimmera,2013,4 Western,참,거짓,2013,참,June,"3,613.00",149,"3,613.00",1
참, Central Goldfields,2013,4 Western,참,거짓,2013,참,June,"6,773.30",868,"6,773.30",1
참, Moira,2013,2 Eastern,참,거짓,2013,참,June,"3,615.30","1,045","3,615.30",1
참, Latrobe,2013,2 Eastern,참,거짓,2013,참,June,"10,340.80","7,665","10,340.80",1
참, Greater Shepparton,2013,2 Eastern,참,거짓,2013,참,June,"7,738.30","4,894","7,738.30",1
참, Boroondara,2013,2 Eastern,참,거짓,2013,참,June,"3,381.50","5,765","3,381.50",1
참, Knox,2013,2 Eastern,참,거짓,2013,참,June,"4,283.40","6,697","4,283.40",1
참, East Gippsland,2013,2 Eastern,참,거짓,2013,참,June,"6,866.20","3,008","6,866.20",1
참, Nillumbik,2013,1 North West Metro,참,거짓,2013,참,June,"2,336.40","1,476","2,336.40",1
참, Wangaratta,2013,2 Eastern,참,거짓,2013,참,June,"6,202.50","1,715","6,202.50",1
참, Yarra,2013,1 North West Metro,참,거짓,2013,참,June,"10,501.20","8,817","10,501.20",1
참, Buloke,2013,4 Western,참,거짓,2013,참,June,"3,506.60",224,"3,506.60",1
참, Manningham,2013,2 Eastern,참,거짓,2013,참,June,"2,376.70","2,813","2,376.70",1
참, Whittlesea,2013,1 North West Metro,참,거짓,2013,참,June,"5,202.70","9,327","5,202.70",1
참, Hobsons Bay,2013,1 North West Metro,참,거짓,2013,참,June,"6,474.00","5,774","6,474.00",1
참, Hume,2013,1 North West Metro,참,거짓,2013,참,June,"6,267.00","11,586","6,267.00",1
참, Cardinia,2013,3 Southern Metro,참,거짓,2013,참,June,"4,722.70","3,995","4,722.70",1
참, Yarriambiack,2013,4 Western,참,거짓,2013,참,June,"3,526.70",248,"3,526.70",1
참, Port Phillip,2013,3 Southern Metro,참,거짓,2013,참,June,"8,854.10","9,045","8,854.10",1
참, Queenscliffe,2013,4 Western,참,거짓,2013,참,June,"2,831.40",85,"2,831.40",1
참, Glenelg,2013,4 Western,참,거짓,2013,참,June,"5,551.30","1,099","5,551.30",1
참, Bayside,2013,3 Southern Metro,참,거짓,2013,참,June,"3,501.20","3,440","3,501.20",1
참, South Gippsland,2013,2 Eastern,참,거짓,2013,참,June,"3,448.50",975,"3,448.50",1
참, Moreland,2013,1 North West Metro,참,거짓,2013,참,June,"5,777.30","9,260","5,777.30",1
참, Whitehorse,2013,2 Eastern,참,거짓,2013,참,June,"3,482.80","5,645","3,482.80",1
참, Surf Coast,2013,4 Western,참,거짓,2013,참,June,"3,680.70","1,039","3,680.70",1
참, Maribyrnong,2013,1 North West Metro,참,거짓,2013,참,June,"8,807.80","7,027","8,807.80",1
참, Strathbogie,2013,2 Eastern,참,거짓,2013,참,June,"4,084.30",403,"4,084.30",1
참, Maroondah,2013,2 Eastern,참,거짓,2013,참,June,"4,673.90","5,131","4,673.90",1
참, Justice Institutions and Immigration Facilities,2013,Justice Institutions and Immigration Facilities,거짓,거짓,2013,참,June,,969,,1
참, Campaspe,2013,4 Western,참,거짓,2013,참,June,"5,909.20","2,199","5,909.20",1
참, Ararat,2013,4 Western,참,거짓,2013,참,June,"7,650.10",879,"7,650.10",1
참, Banyule,2013,1 North West Metro,참,거짓,2013,참,June,"4,584.40","5,699","4,584.40",1
참, Monash,2013,2 Eastern,참,거짓,2013,참,June,"3,616.30","6,627","3,616.30",1
참, Benalla,2013,2 Eastern,참,거짓,2013,참,June,"5,843.80",811,"5,843.80",1
참, Macedon Ranges,2013,4 Western,참,거짓,2013,참,June,"3,027.20","1,350","3,027.20",1
참, Pyrenees,2013,4 Western,참,거짓,2013,참,June,"3,834.00",266,"3,834.00",1
참, Alpine,2013,2 Eastern,참,거짓,2013,참,June,"2,572.70",316,"2,572.70",1
참, Stonnington,2013,3 Southern Metro,참,거짓,2013,참,June,"6,997.00","7,241","6,997.00",1
참, Greater Dandenong,2013,3 Southern Metro,참,거짓,2013,참,June,"8,218.10","12,204","8,218.10",1
참, Glen Eira,2013,3 Southern Metro,참,거짓,2013,참,June,"3,293.90","4,653","3,293.90",1
참, Unincorporated Vic,2013,Unincorporated Vic,거짓,거짓,2013,참,June,,104,,1
참, Brimbank,2013,1 North West Metro,참,거짓,2013,참,June,"7,780.00","15,262","7,780.00",1
참, Corangamite,2013,4 Western,참,거짓,2013,참,June,"2,845.80",467,"2,845.80",1
참, Bass Coast,2013,2 Eastern,참,거짓,2013,참,June,"5,700.40","1,786","5,700.40",1
참, Southern Grampians,2013,4 Western,참,거짓,2013,참,June,"5,019.90",821,"5,019.90",1
참, Loddon,2013,4 Western,참,거짓,2013,참,June,"4,070.20",306,"4,070.20",1
참, Melbourne,2013,1 North West Metro,참,거짓,2013,참,June,"20,712.50","24,588","20,712.50",1
참, Ballarat,2013,4 Western,참,거짓,2013,참,June,"8,158.10","8,023","8,158.10",1
참, Wellington,2013,2 Eastern,참,거짓,2013,참,June,"6,797.60","2,904","6,797.60",1
참, Swan Hill,2013,4 Western,참,거짓,2013,참,June,"6,637.10","1,394","6,637.10",1
참, Horsham,2013,4 Western,참,거짓,2013,참,June,"6,651.80","1,310","6,651.80",1
참, Melton,2013,1 North West Metro,참,거짓,2013,참,June,"5,258.40","6,517","5,258.40",1
참, Moonee Valley,2013,1 North West Metro,참,거짓,2013,참,June,"5,721.30","6,606","5,721.30",1
참, Moorabool,2013,4 Western,참,거짓,2013,참,June,"4,820.80","1,466","4,820.80",1
참, Mansfield,2013,2 Eastern,참,거짓,2013,참,June,"3,226.20",267,"3,226.20",1
참, Towong,2013,2 Eastern,참,거짓,2013,참,June,"3,120.30",186,"3,120.30",1
