,Local Government Area,Criminial Incident Rate,Incidents Recorded,"Rate per 100,000 population",lng,lat
0,alpine,2737.1,349.5,2737.1,150.5217411,-34.4091114
1,ararat,7755.7,911.1,7755.7,142.9319447,-37.2834165
2,ballarat,7756.3,8243.8,7756.3,143.8605645,-37.5623013
3,banyule,5226.7,6671.6,5226.7,145.0866520306644,-37.734063
4,bass coast,5462.9,1945.5,5462.9,145.55422005393342,-38.4861595
5,baw baw,5500.3,2870.4,5500.3,149.6344444,-34.7316667
6,bayside,3621.0,3709.9,3621.0,151.19909138808424,-33.96457755
7,benalla,6432.2,909.8,6432.2,145.9833562,-36.5517611
8,boroondara,3400.3,5948.9,3400.3,145.0612023919295,-37.826496
9,brimbank,7110.4,14324.8,7110.4,144.80542675475374,-37.742717
10,buloke,3236.6,201.4,3236.6,142.99267044936505,-35.844697
11,campaspe,6626.4,2512.1,6626.4,146.12844355226684,-20.597115
12,cardinia,4542.2,4707.1,4542.2,145.4178196,-38.1436364
13,casey,4565.7,15037.7,4565.7,149.0947152,-35.1670015
14,central goldfields,6546.9,862.0,6546.9,143.7060232817073,-36.978918
15,colac-otway,5678.7,1232.7,5678.7,143.5577763698493,-38.434985600000005
16,corangamite,3503.9,567.4,3503.9,143.12736889404903,-38.21597
17,darebin,7232.4,11087.4,7232.4,145.0386786,-37.7747529
18,east gippsland,6967.0,3239.6,6967.0,148.50799176001902,-37.3466413
19,frankston,7652.3,10669.1,7652.3,145.1268808,-38.1444729
20,gannawarra,4819.1,509.6,4819.1,144.14603632589694,-35.7169085
21,glen eira,3501.6,5227.9,3501.6,145.04103330198274,-37.89914
22,glenelg,6006.4,1193.7,6006.4,138.5143342,-34.9803673
23,golden plains,2124.8,483.9,2124.8,147.5710838,-29.383736899999995
24,greater bendigo,6254.6,7202.4,6254.6,144.3159188939216,-36.791344550000005
25,greater dandenong,8402.3,13418.0,8402.3,145.18705059500002,-38.0011918
26,greater geelong,6323.8,15733.9,6323.8,144.3376679,-38.165166
27,greater shepparton,8753.4,5805.7,8753.4,145.378155792091,-36.4277195
28,hepburn,3672.5,580.0,3672.5,144.12812749764464,-37.3127405
29,hindmarsh,4044.0,231.2,4044.0,138.5699532,-34.9066222
30,hobsons bay,5482.3,5086.0,5482.3,144.923322,-37.8533828
31,horsham,7853.8,1573.3,7853.8,142.2018105,-36.7148099
32,hume,6627.9,14486.6,6627.9,149.1658468,-35.3853817
33,indigo,2305.8,381.4,2305.8,151.2441155,-33.8764257
34,justice institutions and immigration facilities,,1101.2,,,
35,kingston,4973.7,7901.9,4973.7,167.9595733,-29.0563564
36,knox,4864.9,7804.6,4864.9,145.2648563164172,-37.898453
37,latrobe,11838.6,8937.4,11838.6,146.4100177,-41.2347941
38,loddon,4482.5,340.9,4482.5,143.9115536,-36.4047762
39,macedon ranges,3232.9,1573.1,3232.9,144.63464116524975,-37.3336305
40,manningham,2718.7,3361.3,2718.7,138.6219464,-34.8771946
41,mansfield,3990.4,363.2,3990.4,146.0881576,-37.0521238
42,maribyrnong,8033.4,6923.1,8033.4,144.8902049,-37.7695144
43,maroondah,5064.3,5823.9,5064.3,145.18967857699414,-37.8239247
44,melbourne,17366.1,25777.3,17366.1,144.9631732,-37.8142454
45,melton,5437.5,8344.8,5437.5,144.5828446,-37.6835714
46,mildura,8824.7,4901.8,8824.7,142.1503146,-34.195274
47,mitchell,6120.1,2704.1,6120.1,147.9685574262762,-26.4626
48,moira,4739.1,1413.7,4739.1,144.8464092,-35.9260337
49,monash,4225.2,8170.3,4225.2,149.0906903,-35.4157378
50,moonee valley,5406.4,6615.1,5406.4,145.3594308,-24.0466707
51,moorabool,4863.6,1666.3,4863.6,144.2925356,-38.0666588
52,moreland,6095.9,10504.5,6095.9,144.96184162599172,-37.75434655
53,mornington peninsula,4816.3,7894.8,4816.3,145.08106868543985,-38.3312575
54,mount alexander,3857.8,746.8,3857.8,144.3056358,-36.9966586
55,moyne,2826.4,477.1,2826.4,142.37220764032193,-38.18620375
56,murrindindi,3821.2,550.5,3821.2,145.58227012238598,-37.369336
