,area,lat,lng
0,Darebin,-37.7747529,145.0386786
1,Moyne,-38.186203750000004,142.37220764032193
2,Baw Baw,-34.7316667,149.6344444
3,Mitchell,-26.462600000000002,147.9685574262762
4,Wyndham,-15.4867977,128.1236196
5,Casey,-35.1670015,149.0947152
6,Hepburn,-37.312740500000004,144.12812749764464
7,Greater Geelong,-38.165166,144.3376679
8,Hindmarsh,-34.9066222,138.5699532
9,Northern Grampians,-36.849523,143.02269025170943
10,Mildura,-34.195274,142.1503146
11,Mount Alexander,-36.9966586,144.3056358
12,Golden Plains,-29.3837369,147.5710838
13,Frankston,-38.1444729,145.1268808
14,Indigo,-33.8764257,151.2441155
15,Mornington Peninsula,-38.3312575,145.08106868543985
16,Total,-37.6886145,144.9543813
17,Kingston,-29.0563564,167.9595733
18,Gannawarra,-35.7169085,144.14603632589694
19,Colac-Otway,-38.434985600000005,143.5577763698493
20,Murrindindi,-37.369336000000004,145.58227012238598
21,Warrnambool,-38.3826242,142.4814199
22,Greater Bendigo,-36.791344550000005,144.3159188939216
23,West Wimmera,-36.57850695,141.4011819511553
24,Central Goldfields,-36.978918,143.7060232817073
25,Moira,-35.9260337,144.8464092
26,Latrobe,-41.2347941,146.4100177
27,Greater Shepparton,-36.427719499999995,145.378155792091
28,Boroondara,-37.826496,145.0612023919295
29,Knox,-37.898453,145.2648563164172
30,East Gippsland,-37.3466413,148.50799176001902
31,Nillumbik,-37.6147785,145.24629178928052
32,Wangaratta,-36.356434,146.3228311
33,Yarra,-34.8152,149.6346
34,Buloke,-35.844697,142.99267044936505
35,Manningham,-34.8771946,138.6219464
36,Whittlesea,-37.5121301,145.1177321
37,Hobsons Bay,-37.8533828,144.923322
38,Hume,-35.3853817,149.1658468
39,Cardinia,-38.1436364,145.4178196
40,Yarriambiack,-36.0284095,142.38846769658159
41,Port Phillip,-38.10464825,144.77985468846867
42,Queenscliffe,-38.265028,144.66513175
43,Glenelg,-34.9803673,138.5143342
44,Bayside,-33.96457755,151.19909138808424
45,South Gippsland,-38.6990505,146.0166810482263
46,Moreland,-37.75434655,144.96184162599172
47,Whitehorse,-37.8279639,145.156487614017
48,Surf Coast,-38.339968999999996,144.09735099186418
49,Maribyrnong,-37.7695144,144.8902049
50,Strathbogie,-36.87723,145.76649800380426
51,Maroondah,-37.8239247,145.18967857699414
52,Justice Institutions and Immigration Facilities,,
53,Campaspe,-20.597115,146.12844355226684
54,Ararat,-37.2834165,142.9319447
55,Banyule,-37.734063,145.0866520306644
56,Monash,-35.4157378,149.0906903
57,Benalla,-36.5517611,145.9833562
58,Macedon Ranges,-37.3336305,144.63464116524977
59,Pyrenees,-37.3301195,143.42380230588194
60,Alpine,-34.4091114,150.5217411
61,Stonnington,-37.86131775,145.03906710401657
62,Greater Dandenong,-38.0011918,145.18705059500002
63,Glen Eira,-37.89914,145.04103330198274
64,Unincorporated Vic,,
65,Brimbank,-37.742717,144.80542675475374
66,Corangamite,-38.21597,143.12736889404903
67,Bass Coast,-38.4861595,145.55422005393342
68,Southern Grampians,-37.530315,141.9580390865912
69,Loddon,-36.4047762,143.9115536
70,Melbourne,-37.8142454,144.9631732
71,Ballarat,-37.5623013,143.8605645
72,Wellington,-35.3313152,139.3831595
73,Swan Hill,-35.3390784,143.5588436
74,Horsham,-36.7148099,142.2018105
75,Melton,-37.6835714,144.5828446
76,Moonee Valley,-24.0466707,145.3594308
77,Moorabool,-38.0666588,144.2925356
78,Mansfield,-37.0521238,146.0881576
79,Towong,-36.119638699999996,147.95655751019402
80,Wodonga,-36.1205539,146.8880837
81,Yarra Ranges,-37.7500105,145.72395637113937
